Round,Pick,Team,Name,Position,School,Signed,Bonus
5,153,Chicago Cubs,Ariel Armas,C,4YR,Y,"$375,000"
5,154,Seattle Mariners,Charlie Beilenson,RHP,4YR,Y,"$25,000"
5,155,Miami Marlins,Grant Shepardson,RHP,HS,Y,"$897,500"
5,156,Milwaukee Brewers,John Holobetz,RHP,4YR,Y,"$322,500"
5,157,Tampa Bay Rays,Jacob Kmatz,RHP,4YR,Y,"$397,500"
5,158,Toronto Blue Jays,Jackson Wentworth,RHP,4YR,Y,"$412,100"
5,159,Minnesota Twins,Caden Kendle,OF,4YR,Y,"$147,500"
5,160,Baltimore Orioles,Ryan Stafford,C,4YR,Y,"$404,500"
5,161,Atlanta Braves,Nicholas Montgomery,C,HS,Y,"$997,500"
5,162,Philadelphia Phillies,Carter Mathison,OF,4YR,Y,"$447,500"
5,163,Houston Astros,Cole Hertzler,RHP,4YR,Y,"$393,700"
5,164,Arizona Diamondbacks,Connor Foley,RHP,4YR,Y,"$1,000,000"
5,165,Texas Rangers,Devin Fitz-Gerald,SS,HS,Y,"$900,000"
6,166,Athletics,Josiah Romeo,RHP,HS,Y,"$550,000"
6,167,Kansas City Royals,Tanner Jones,RHP,4YR,Y,"$379,600"
6,168,Colorado Rockies,Konner Eaton,LHP,4YR,Y,"$378,900"
6,169,Chicago White Sox,Jackson Appel,C,4YR,Y,"$122,500"
6,170,Washington Nationals,Davian Garcia,RHP,4YR,Y,"$425,000"
6,171,St. Louis Cardinals,Josh Kross,C,4YR,Y,"$369,100"
6,172,Los Angeles Angels,Peyton Olejnik,RHP,4YR,Y,"$197,500"
6,173,New York Mets,Corey Collins,1B,4YR,Y,"$272,500"
6,174,Pittsburgh Pirates,Matt Ager,RHP,4YR,Y,"$357,400"
6,175,Cleveland Guardians,Caden Favors,LHP,4YR,Y,"$75,000"
6,176,Detroit Tigers,Woody Hadeen,SS,4YR,Y,"$297,500"
6,177,Boston Red Sox,Blake Aita,RHP,4YR,Y,"$300,000"
6,178,San Francisco Giants,Robert Hipwell,3B,4YR,Y,"$345,700"
6,179,Cincinnati Reds,Jacob Friend,C,4YR,Y,"$272,500"
6,180,San Diego Padres,Darrien McDowell,OF,4YR,Y,"$50,000"
6,181,New York Yankees,Griffin Herring,LHP,4YR,Y,"$797,500"
6,182,Chicago Cubs,Ryan Gallagher,RHP,4YR,Y,"$300,000"
6,183,Seattle Mariners,Grant Knipp,TWP,4YR,Y,"$275,000"
6,184,Miami Marlins,Payton Green,SS,4YR,Y,"$328,800"
6,185,Milwaukee Brewers,Chandler Welch,RHP,4YR,Y,"$237,500"
6,186,Tampa Bay Rays,Janzen Keisel,RHP,4YR,Y,"$272,500"
6,187,Toronto Blue Jays,Aaron Parker,C,4YR,Y,"$297,500"
6,188,Minnesota Twins,Derek Bender,C,4YR,Y,"$297,500"
6,189,Baltimore Orioles,DJ Layton,SS,HS,Y,"$715,800"
6,190,Los Angeles Dodgers,Brooks Auger,RHP,4YR,Y,"$197,500"
6,191,Atlanta Braves,Ethan Bagwell,RHP,HS,Y,"$822,500"
6,192,Philadelphia Phillies,Kodey Shojinaga,C,4YR,Y,"$257,500"
6,193,Houston Astros,Caden Powell,SS,JC,Y,"$422,500"
6,194,Arizona Diamondbacks,Mason Marriott,RHP,4YR,Y,"$241,000"
6,195,Texas Rangers,Garrett Horn,LHP,4YR,Y,"$250,000"
7,196,Athletics,Dylan Fien,C,HS,Y,"$550,000"
7,197,Kansas City Royals,Dennis Colleran,RHP,4YR,Y,"$247,500"
7,198,Colorado Rockies,Fidel Ulloa,RHP,4YR,Y,"$295,300"
7,199,Chicago White Sox,Phil Fox,RHP,4YR,Y,"$197,500"
7,200,Washington Nationals,Robert Cranz,RHP,4YR,Y,"$190,000"
7,201,St. Louis Cardinals,Andrew Dutkanych,RHP,4YR,Y,"$300,000"
7,202,Los Angeles Angels,Bridger Holmes,RHP,4YR,Y,"$215,000"
7,203,New York Mets,William Watson,RHP,4YR,Y,"$281,300"
7,204,Pittsburgh Pirates,Connor Wietgrefe,LHP,4YR,Y,"$247,500"
7,205,Cleveland Guardians,Cameron Sullivan,RHP,HS,Y,"$525,000"
7,206,Detroit Tigers,Jackson Strong,OF,4YR,Y,"$222,500"
7,207,Boston Red Sox,Will Turner,OF,4YR,Y,"$250,000"
7,208,San Francisco Giants,Greg Farone,LHP,4YR,Y,"$204,150"
7,209,Cincinnati Reds,Myles Smith,OF,4YR,Y,"$247,500"
7,210,San Diego Padres,Kai Roberts,OF,4YR,Y,"$10,000"
7,211,New York Yankees,Wyatt Parliament,RHP,4YR,Y,"$199,350"
7,212,Chicago Cubs,Ivan Brethowr,OF,4YR,Y,"$245,000"
7,213,Seattle Mariners,Brock Moore,RHP,4YR,Y,"$200,000"
7,214,Miami Marlins,Nick Brink,RHP,4YR,Y,"$195,000"
7,215,Milwaukee Brewers,Mason Molina,LHP,4YR,Y,"$254,900"
7,216,Tampa Bay Rays,Ryan Andrade,RHP,4YR,Y,"$253,000"
7,217,Toronto Blue Jays,Austin Cates,RHP,4YR,Y,"$222,500"
7,218,Minnesota Twins,Eli Jones,RHP,4YR,Y,"$212,500"
7,219,Baltimore Orioles,Carson Dorsey,LHP,4YR,Y,"$246,500"
7,220,Los Angeles Dodgers,Elijah Hainline,SS,4YR,Y,"$197,500"
7,221,Atlanta Braves,Brett Sears,RHP,4YR,Y,"$12,500"
7,222,Philadelphia Phillies,Joel Dragoo,OF,4YR,Y,"$222,500"
7,223,Houston Astros,Joseph Sullivan,OF,4YR,Y,"$239,900"
7,224,Arizona Diamondbacks,Luke Craig,LHP,4YR,Y,"$190,000"
7,225,Texas Rangers,Rafe Perich,3B,4YR,Y,"$175,000"
8,226,Athletics,Davis Diaz,C,4YR,Y,"$250,000"
8,227,Kansas City Royals,Nick Conte,RHP,4YR,Y,"$157,500"
8,228,Colorado Rockies,Luke Jewett,RHP,4YR,Y,"$234,200"
8,229,Chicago White Sox,Aaron Combs,RHP,4YR,Y,"$247,500"
8,230,Washington Nationals,Sam Petersen,OF,4YR,Y,"$230,900"
8,231,St. Louis Cardinals,Jack Findlay,LHP,4YR,Y,"$400,000"
8,232,Los Angeles Angels,Randy Flores,SS,4YR,Y,"$1,000"
8,233,New York Mets,Ryan Lambert,RHP,4YR,Y,"$172,500"
8,234,Pittsburgh Pirates,Gavin Adams,RHP,4YR,Y,"$172,500"
8,235,Cleveland Guardians,Donovan Zsak,LHP,4YR,Y,"$200,000"
8,236,Detroit Tigers,Ethan Sloan,LHP,4YR,Y,"$27,500"
8,237,Boston Red Sox,Conrad Cason,TWP,HS,Y,"$1,250,000"
8,238,San Francisco Giants,Niko Mazza,RHP,4YR,Y,"$202,500"
8,239,Cincinnati Reds,Luke Hayden,RHP,4YR,Y,"$197,500"
8,240,San Diego Padres,Nick Wissman,RHP,4YR,Y,"$10,000"
8,241,New York Yankees,Tyler Wilson,OF,4YR,Y,"$47,500"
8,242,Chicago Cubs,Edgar Alvarez,1B,4YR,Y,"$125,000"
8,243,Seattle Mariners,Will Riley,RHP,4YR,Y,"$120,000"
8,244,Miami Marlins,Jacob Jenkins-Cowart,OF,4YR,Y,"$211,600"
8,245,Milwaukee Brewers,Sam Garcia,LHP,4YR,Y,"$55,000"
8,246,Tampa Bay Rays,Jayden Voelker,RHP,JC,Y,"$147,500"
8,247,Toronto Blue Jays,Eddie Micheletti,OF,4YR,Y,"$147,500"
8,248,Minnesota Twins,Jakob Hall,RHP,4YR,Y,"$147,500"
8,249,Baltimore Orioles,Colin Tuft,C,4YR,Y,"$182,500"
8,250,Los Angeles Dodgers,Brendan Tunink,OF,HS,Y,"$410,000"
8,251,Atlanta Braves,Logan Samuels,RHP,4YR,Y,"$7,500"
8,252,Philadelphia Phillies,Camron Hill,LHP,4YR,Y,"$197,500"
8,253,Houston Astros,Dylan Howard,RHP,4YR,Y,"$201,000"
8,254,Arizona Diamondbacks,Travis Garnett,LHP,4YR,Y,"$175,000"
8,255,Texas Rangers,Anthony Susac,RHP,4YR,Y,"$200,000"
9,256,Athletics,Jared Sprague-Lott,3B,4YR,Y,"$50,000"
9,257,Kansas City Royals,Canyon Brown,C,4YR,Y,"$197,500"
9,258,Colorado Rockies,Tommy Hopfe,1B,4YR,Y,"$100,000"
9,259,Chicago White Sox,Jack Young,RHP,4YR,Y,"$7,500"
9,260,Washington Nationals,Jackson Ross,3B,4YR,Y,"$2,000"
9,261,St. Louis Cardinals,Cade McGee,3B,4YR,Y,"$275,000"
9,262,Los Angeles Angels,Derek Clark,LHP,4YR,Y,"$1,000"
9,263,New York Mets,Jaxon Jelkin,RHP,4YR,N,
9,264,Pittsburgh Pirates,Duce Gourson,SS,4YR,Y,"$187,500"
9,265,Cleveland Guardians,Sean Matson,RHP,4YR,Y,"$175,000"
9,266,Detroit Tigers,Zach Swanson,RHP,HS,Y,"$722,500"
9,267,Boston Red Sox,Hudson White,C,4YR,Y,"$185,000"
9,268,San Francisco Giants,Zane Zielinski,SS,4YR,Y,"$17,500"
9,269,Cincinnati Reds,Ryan McCrystal,C,4YR,Y,"$147,500"
9,270,San Diego Padres,Zach Evans,SS,4YR,Y,"$10,000"
9,271,New York Yankees,Tanner Bauman,LHP,4YR,Y,"$37,500"
9,272,Chicago Cubs,Brooks Caple,RHP,4YR,Y,"$125,000"
9,273,Seattle Mariners,Aiden Butler,RHP,JC,Y,"$250,000"
9,274,Miami Marlins,Dub Gleed,3B,4YR,Y,"$188,800"
9,275,Milwaukee Brewers,Griffin Tobias,RHP,HS,Y,"$247,500"
9,276,Tampa Bay Rays,Garrett Gainey,LHP,4YR,Y,"$97,500"
9,277,Toronto Blue Jays,Colby Holcombe,RHP,4YR,Y,"$197,500"
9,278,Minnesota Twins,Jason Doktorczyk,RHP,4YR,Y,"$187,000"
9,279,Baltimore Orioles,Jack Crowder,RHP,4YR,Y,"$27,500"
9,280,Los Angeles Dodgers,Kole Myers,OF,4YR,Y,"$2,500"
9,281,Atlanta Braves,Owen Hackman,RHP,4YR,Y,"$2,500"
9,282,Philadelphia Phillies,Marcus Morgan,RHP,4YR,Y,"$185,700"
9,283,Houston Astros,Ryan Smith,RHP,4YR,Y,"$177,500"
9,284,Arizona Diamondbacks,Ben McLaughlin,3B,4YR,Y,"$75,000"
9,285,Texas Rangers,Keith Jones,OF,4YR,Y,"$30,000"
10,286,Athletics,Cameron Leary,OF,4YR,Y,"$50,000"
10,287,Kansas City Royals,Nate Ackenhausen,LHP,4YR,Y,"$47,500"
10,288,Colorado Rockies,Fisher Jameson,RHP,4YR,Y,"$185,800"
10,289,Chicago White Sox,Cole McConnell,OF,4YR,Y,"$7,500"
10,290,Washington Nationals,Luke Johnson,RHP,4YR,Y,"$2,000"
10,291,St. Louis Cardinals,Bryce Madron,OF,4YR,Y,"$50,000"
10,292,Los Angeles Angels,Ryan Nicholson,1B,4YR,Y,"$1,000"
10,293,New York Mets,Brendan Girton,RHP,4YR,Y,"$122,500"
10,294,Pittsburgh Pirates,Derek Berg,C,4YR,Y,"$172,500"
10,295,Cleveland Guardians,Chase Mobley,RHP,HS,Y,"$1,800,000"
10,296,Detroit Tigers,R.J. Sales,RHP,4YR,Y,"$147,500"
10,297,Boston Red Sox,Devin Futrell,LHP,4YR,Y,"$250,000"
10,298,San Francisco Giants,Cade Vernon,RHP,4YR,Y,"$17,500"
10,299,Cincinnati Reds,Yanuel Casiano,C,HS,Y,"$122,500"
10,300,San Diego Padres,Jack Costello,3B,4YR,Y,"$10,000"
10,301,New York Yankees,Joe De Los Santos,OF,4YR,Y,"$7,500"
10,302,Chicago Cubs,Matt Halbach,3B,4YR,Y,"$180,000"
10,303,Seattle Mariners,Anthony Donofrio,OF,4YR,Y,"$50,000"
10,304,Miami Marlins,Michael Snyder,3B,4YR,Y,"$17,500"
10,305,Milwaukee Brewers,Ethan Dorchies,RHP,HS,Y,"$162,500"
10,306,Tampa Bay Rays,Trey Pooser,RHP,4YR,Y,"$72,500"
10,307,Toronto Blue Jays,Carter Cunningham,OF,4YR,Y,"$22,500"
10,308,Minnesota Twins,Peyton Carr,3B,4YR,Y,"$42,500"
10,309,Baltimore Orioles,Christian Rodriguez,RHP,4YR,Y,"$147,500"
10,310,Los Angeles Dodgers,Seamus Barrett,RHP,4YR,Y,"$5,000"
10,311,Atlanta Braves,Jacob Kroeger,LHP,4YR,Y,"$2,500"
10,312,Philadelphia Phillies,Brady Day,SS,4YR,Y,"$176,300"
10,313,Houston Astros,Ramsey David,RHP,4YR,Y,"$105,000"
10,314,Arizona Diamondbacks,Trent Youngblood,OF,4YR,Y,"$50,000"
10,315,Texas Rangers,Jake Jekielek,RHP,4YR,Y,"$20,000"
11,316,Athletics,Kyle Robinson,RHP,4YR,Y,"$150,000"
11,317,Kansas City Royals,Zachary Cawyer,RHP,4YR,Y,"$150,000"
11,318,Colorado Rockies,Alan Espinal,C,4YR,Y,"$200,000"
11,319,Chicago White Sox,Blake Shepardson,RHP,4YR,Y,"$150,000"
11,320,Washington Nationals,Merritt Beeker,LHP,4YR,Y,"$150,000"
11,321,St. Louis Cardinals,Jon Jon Gazdar,SS,4YR,Y,"$250,000"
11,322,Los Angeles Angels,Trey Gregory-Alford,RHP,HS,Y,"$1,957,500"
11,323,New York Mets,Nick Roselli,2B,4YR,Y,"$150,000"
11,324,Pittsburgh Pirates,Jacob Bimbi,LHP,4YR,Y,"$180,000"
11,325,Cleveland Guardians,Garrett Howe,SS,4YR,Y,"$150,000"
11,326,Detroit Tigers,Micah Ashman,LHP,4YR,Y,"$150,000"
11,327,Boston Red Sox,Steven Brooks,RHP,4YR,Y,"$200,000"
11,328,San Francisco Giants,Andy Polanco,OF,HS,Y,"$150,000"
11,329,Cincinnati Reds,Edgar Colon,RHP,HS,Y,"$247,500"
11,330,San Diego Padres,Sean Barnett,TWP,4YR,Y,"$175,000"
11,331,New York Yankees,Mack Estrada,RHP,JC,Y,"$640,340"
11,332,Chicago Cubs,Eli Lovich,OF,HS,Y,"$650,000"
11,333,Seattle Mariners,Christian Little,RHP,4YR,Y,"$200,000"
11,334,Miami Marlins,Jake Faherty,RHP,4YR,Y,"$200,000"
11,335,Milwaukee Brewers,Caedmon Parker,RHP,4YR,N,
11,336,Tampa Bay Rays,Cade Citelli,RHP,4YR,Y,"$150,000"
11,337,Toronto Blue Jays,Troy Guthrie,RHP,HS,Y,"$200,000"
11,338,Minnesota Twins,Michael Carpenter,LHP,JC,Y,"$508,500"
11,339,Baltimore Orioles,Sebastian Gongora,LHP,4YR,Y,"$150,000"
11,340,Los Angeles Dodgers,Aidan Foeller,RHP,4YR,Y,"$147,500"
11,341,Atlanta Braves,Patrick Clohisy,OF,4YR,Y,"$150,000"
11,342,Philadelphia Phillies,Titan Hayes,RHP,4YR,Y,"$150,000"
11,343,Houston Astros,Jason Schiavone,C,4YR,Y,"$150,000"
11,344,Arizona Diamondbacks,Bo Walker,OF,HS,Y,"$500,000"
11,345,Texas Rangers,Dalton Pence,LHP,4YR,Y,"$350,000"
12,346,Athletics,Ali Camarillo,SS,4YR,Y,"$250,000"
12,347,Kansas City Royals,Tommy Molsky,RHP,4YR,Y,"$150,000"
12,348,Colorado Rockies,Everett Catlett,LHP,4YR,Y,"$200,000"
12,349,Chicago White Sox,Nathan Archer,OF,4YR,Y,"$150,000"
12,350,Washington Nationals,Xander Meckley,RHP,4YR,Y,"$150,000"
12,351,St. Louis Cardinals,Ian Petrutz,OF,4YR,Y,"$250,000"
12,352,Los Angeles Angels,Fran Oschell,RHP,4YR,Y,"$150,000"
